x,y,z,label
18.275063,-2.1717482,-1.610964,education
18.252592,-2.1784062,-1.9214774,higher
11.777093,5.591969,-4.4457684,development
18.38987,-2.1033714,-1.4806482,institutions
14.531811,2.305994,-5.8385286,quality
16.031631,-1.1395493,1.4816121,educational
22.784967,6.6127415,2.169367,cid
14.915057,1.5777429,-5.230556,system
18.618753,-2.8828497,0.6017391,school
11.36974,3.9129908,-2.3980396,research
11.897153,5.687528,-6.585625,national
21.77872,0.30696195,3.3421261,students
18.876698,-2.220597,-1.0124924,training
18.319973,-1.6993369,-0.085800834,level
12.499539,7.735013,-4.7342687,skills
18.669497,-2.8500245,0.71043277,schools
20.596336,-1.2338645,-0.34459814,programmes
24.664505,5.376385,1.3491943,learning
15.803076,7.831007,-1.3077607,work
16.765371,-0.5364536,1.7305845,support
21.670017,4.8391356,1.9054669,also
12.735726,4.0880013,-3.4746218,new
14.773152,0.86542153,-1.444919,public
18.97127,-2.1754875,-0.9955265,professional
11.88562,5.7595906,-6.61872,strategy
21.70327,1.1092464,3.757559,pupils
22.69376,5.7468567,5.169924,needs
22.302488,7.318171,3.7740214,social
24.727837,5.32837,1.304579,teaching
19.648064,-1.7277564,0.27178618,teachers
23.975998,5.881326,1.8368871,information
20.873343,0.33434027,0.9381372,must
11.836837,5.715334,-6.7770185,plan
21.69876,0.15527995,3.355511,number
11.997544,5.1808085,-6.3064737,implementation
21.030518,-0.86001074,-0.07694792,study
12.081646,5.7224846,-5.3938527,policy
17.815954,4.4617066,-3.1288726,activities
14.033138,1.5112675,-4.032128,programme
11.929713,4.941143,-5.3196545,government
12.1393385,4.429708,-6.1561413,framework
11.928191,4.8932767,-6.209579,strategic
15.608051,3.1322763,-5.8154297,evaluation
11.4700165,4.536916,-2.3488119,international
11.621913,5.7002788,-3.654019,state
14.252788,6.9324136,-5.007344,n
19.72904,7.250232,-1.1025655,e
22.742008,6.9207134,3.0574317,knowledge
22.757137,5.4572906,5.469177,children
18.616163,-2.9528027,0.36713576,secondary
23.982107,5.8649607,1.8220687,use
18.70633,4.530354,-4.264397,based
21.980007,4.3401427,5.038232,services
15.324505,2.3784802,-5.1139445,management
11.847432,4.6125293,-6.056276,republic
22.651476,5.622152,4.43756,people
15.462385,7.14937,-1.0341275,areas
15.974811,3.6982381,-5.088963,process
17.781502,-1.2608898,0.112935826,basic
19.993958,0.99442816,1.954906,well
12.538029,7.613079,-4.7132983,youth
22.42687,1.3684729,2.0655975,time
11.801153,4.2566833,-5.449145,czech
12.20221,3.549239,-5.50485,sector
18.047665,4.3120503,-4.5530424,develop
22.522131,1.3416574,2.108569,student
14.2732,1.5798274,-3.659116,within
22.205042,7.4484496,3.6744378,economic
14.735359,0.97612894,-1.4496247,funding
20.415115,0.08768437,0.9138294,staff
22.274086,7.245317,3.7592978,society
23.425446,5.3582377,1.7738453,resources
18.664303,-2.6504478,-0.26030824,vocational
12.439418,3.4832616,-5.535722,european
23.123602,6.175904,2.4218085,life
12.232969,6.2768083,-5.4365005,ireland
16.900715,-0.24922124,1.5040214,provide
21.43746,1.2857043,3.8160493,increase
12.093424,5.8194785,-5.2880936,department
18.415592,-2.1924887,0.033930246,general
15.4634285,7.2487073,-1.1552151,local
21.96959,-0.22663645,0.14989048,universities
17.56738,3.4116678,-3.1270497,ensure
21.047768,-0.109536596,3.2460594,year
16.74859,0.26626167,-0.07346962,levels
22.734867,5.5109944,5.4065785,special
22.578598,6.5792794,4.6618223,market
20.946104,6.757412,3.5577273,health
16.802708,5.088822,-0.99794847,part
15.036664,1.3778293,-3.4793134,area
21.371021,1.2990084,1.8752202,one
17.221592,-0.9253029,-0.13309258,high
18.837345,3.4405768,1.3196523,including
18.848242,-1.610556,-0.3177803,university
12.2124405,5.598344,-5.206017,objectives
21.677313,4.064974,2.7179656,individual
15.11721,1.5549643,-3.602229,relevant
23.073164,5.68747,2.025326,necessary
13.823329,4.928457,-4.3301663,measures
11.57042,4.797663,-2.2263603,innovation
21.072796,5.268804,0.5923101,important
22.004168,5.049527,1.9562356,subject
19.161575,-1.6702355,-0.29973432,teacher
19.560116,-0.08521054,3.0949724,years
22.185112,4.8467197,2.7576551,need
18.198254,3.2452023,-5.371174,improve
15.068053,1.7844212,-3.9153354,field
19.233994,2.4703586,-0.6612312,basis
18.91752,5.441867,-0.83124286,specific
18.051285,4.31342,-4.560394,developing
20.848707,-1.0165297,-0.2056246,degree
