label,cluster,tfidf
feminization,0,0.01012233159530968
accountants,0,0.013418273763046561
necessity,0,0.00732374659265544
overloaded,0,0.006709136881523281
councils,0,0.013362468459238535
structures,0,0.0029234362282286297
shifting,0,0.006709136881523281
adjustment,0,0.008153463587689425
gradation,0,0.007968845495649026
decrees,0,0.006709136881523281
governmental,0,0.005937211237795099
provision,0,0.012931286292148791
lawful,0,0.007968845495649026
democratization,0,0.023261437583953493
utilization,0,0.07171960946084123
ecological,0,0.005815359395988373
impair,0,0.01012233159530968
autonomy,0,0.009240260286583446
decentralization,0,0.020488366874232812
contributing,0,0.002672493691847707
humane,0,0.01012233159530968
harmonized,0,0.007968845495649026
contextual,0,0.006709136881523281
organizational,0,0.008905816856692648
exemplary,0,0.06709136881523281
societal,0,0.0032959421677368843
manuals,0,0.009111301563725258
mismatch,0,0.007968845495649026
distributed,0,0.0032959421677368843
perspectives,0,0.005344987383695414
sanitary,0,0.013418273763046561
hygienic,0,0.010244183437116406
regulations,0,0.010282104612686083
professions,0,0.014851928884991008
adequate,0,0.002076030368748216
attaining,0,0.005122091718558203
didactic,0,0.008153463587689425
decree,0,0.023261437583953493
departments,0,0.0052801487351905405
respective,0,0.017811633713385296
publications,0,0.019775653006421305
imported,0,0.007968845495649026
distinction,0,0.005122091718558203
resumed,0,0.01012233159530968
naturalist,0,0.01012233159530968
bnaget,0,0.01012233159530968
refurbishment,0,0.020488366874232812
inefficient,0,0.010244183437116406
reasoned,0,0.005815359395988373
rationalization,0,0.06709136881523281
densely,0,0.01593769099129805
populated,0,0.011630718791976746
revolving,0,0.02024466319061936
centralization,0,0.02012741064456984
narrowly,0,0.005815359395988373
duplication,0,0.009111301563725258
localization,0,0.007968845495649026
theology,0,0.01012233159530968
reforming,0,0.0032959421677368843
channeled,0,0.007968845495649026
correspondence,0,0.007968845495649026
docents,0,0.01012233159530968
certificates,0,0.013183768670947537
lecturers,0,0.029663479509631958
evaluations,0,0.0021534860996606526
reinforcement,0,0.007968845495649026
dissemination,0,0.0034177940095436107
ratios,0,0.004555650781862629
cooperation,0,0.0019906112401749474
economically,0,0.00366187329632772
charitable,0,0.03984422747824513
pupil,0,0.019232456941840604
sponsoring,0,0.013418273763046561
staffed,0,0.01593769099129805
restructuring,0,0.00861394439864261
modernization,0,0.022778253909313144
identification,0,0.015385965553472483
cadres,0,0.1417126423343355
reproduction,0,0.013418273763046561
tariff,0,0.050611657976548395
restoration,0,0.033545684407616405
normative,0,0.06930444049536011
exceeds,0,0.008153463587689425
enrichment,0,0.004555650781862629
rehabilitation,0,0.01630692717537885
steadily,0,0.004555650781862629
managerial,0,0.0032959421677368843
faculties,0,0.009887826503210653
constitutes,0,0.015366275155674609
undertaking,0,0.005815359395988373
securing,0,0.004555650781862629
statistical,0,0.010767430498303263
favorable,0,0.006709136881523281
proportions,0,0.007968845495649026
implemented,0,0.00266632661391004
components,0,0.004804329364403951
projection,0,0.011630718791976746
allocations,0,0.020488366874232812
contractual,0,0.006709136881523281
reimbursement,0,0.02024466319061936
entitlement,0,0.006709136881523281
researches,0,0.005815359395988373
involvement,0,0.009781434230842765
amendments,0,0.01722788879728522
additions,0,0.007968845495649026
mechanism,0,0.0017088970047718054
budgets,0,0.012010823411009878
governing,0,0.03295942167736884
disproportional,0,0.04048932638123872
allocation,0,0.021117420753338945
classification,0,0.00366187329632772
constituted,0,0.006709136881523281
ngos,0,0.022778253909313144
elaboration,0,0.25633113074294045
drams,0,0.04048932638123872
enterprises,0,0.008905816856692648
tutors,0,0.005122091718558203
heaters,0,0.007968845495649026
classrooms,0,0.013362468459238535
statehood,0,0.03036699478592904
strengthening,0,0.0038979149709715065
adjustments,0,0.00732374659265544
variations,0,0.011630718791976746
employing,0,0.005122091718558203
pensioner,0,0.01012233159530968
hinder,0,0.02024466319061936
contradictions,0,0.02024466319061936
specialties,0,0.008153463587689425
mechanisms,0,0.009781434230842765
inadequate,0,0.002672493691847707
inequality,0,0.004555650781862629
adjusted,0,0.012230195381534139
ecology,0,0.007968845495649026
fledged,0,0.007968845495649026
specialists,0,0.015380073042946248
outflow,0,0.013418273763046561
adopting,0,0.002672493691847707
guaranty,0,0.01012233159530968
residing,0,0.01012233159530968
accumulation,0,0.00366187329632772
attestation,0,0.0956261459477883
exceeding,0,0.01593769099129805
prioritization,0,0.005815359395988373
diaspora,0,0.09392791634132593
physiological,0,0.007968845495649026
barriers,0,0.0032959421677368843
demographic,0,0.0034177940095436107
insolvency,0,0.01012233159530968
contesting,0,0.01012233159530968
hindered,0,0.007968845495649026
unsolicited,0,0.01012233159530968
entity,0,0.010244183437116406
authorized,0,0.023906536486947075
threshold,0,0.006709136881523281
intensification,0,0.006709136881523281
harmonize,0,0.004555650781862629
supervision,0,0.004306972199321305
armenians,0,0.007968845495649026
dispersed,0,0.007968845495649026
wold,0,0.01012233159530968
sphere,0,0.005122091718558203
operative,0,0.005122091718558203
functions,0,0.006600185918988176
coordination,0,0.005126691014315416
delineation,0,0.01593769099129805
unclear,0,0.005122091718558203
aspects,0,0.0009744787427428766
beneficial,0,0.004555650781862629
acute,0,0.0318753819825961
clarification,0,0.011630718791976746
unequal,0,0.007968845495649026
processes,0,0.00934213665936697
discrepancy,0,0.005815359395988373
stipulated,0,0.004555650781862629
backgrounds,0,0.0029686056188975496
stoves,0,0.01012233159530968
undergoes,0,0.02024466319061936
clarified,0,0.005815359395988373
curricula,0,0.01461718114114315
characteristic,0,0.011630718791976746
weakened,0,0.006709136881523281
resulting,0,0.0038464913883681207
sects,0,0.007968845495649026
penetrated,0,0.01012233159530968
jointly,0,0.009887826503210653
factors,0,0.0068355880190872215
insufficiency,0,0.01012233159530968
continuation,0,0.012230195381534139
dissolution,0,0.007968845495649026
soaring,0,0.01012233159530968
accessibility,0,0.013362468459238535
completeness,0,0.007968845495649026
unification,0,0.026836547526093123
braking,0,0.01012233159530968
socioeconomic,0,0.011630718791976746
warring,0,0.01012233159530968
rehabilitated,0,0.006709136881523281
promotes,0,0.0029686056188975496
accreditation,0,0.004525161590001202
satisfactory,0,0.013666952345587886
selective,0,0.005815359395988373
obligatory,0,0.008153463587689425
roofing,0,0.007968845495649026
insufficient,0,0.005769737082552182
crises,0,0.007968845495649026
bearing,0,0.004555650781862629
ideological,0,0.013418273763046561
ideology,0,0.023906536486947075
attainment,0,0.004076731793844712
coordinated,0,0.005344987383695414
contributions,0,0.002672493691847707
unsatisfactory,0,0.010244183437116406
uncoordinated,0,0.007968845495649026
imposed,0,0.018222603127450516
conformity,0,0.006709136881523281
utilized,0,0.013418273763046561
reduction,0,0.0034177940095436107
negligence,0,0.01012233159530968
prospective,0,0.012230195381534139
norms,0,0.018222603127450516
limitation,0,0.005815359395988373
allocated,0,0.004872393713714383
anthropological,0,0.01012233159530968
phenomena,0,0.005122091718558203
shortage,0,0.0029686056188975496
physiology,0,0.01593769099129805
considerably,0,0.0032959421677368843
summarizing,0,0.01012233159530968
adequately,0,0.0029686056188975496
coordinating,0,0.004076731793844712
maintained,0,0.0032959421677368843
upbringing,0,0.1832834463999276
moreover,0,0.004076731793844712
projected,0,0.009887826503210653
rearrangement,0,0.01012233159530968
expenses,0,0.019775653006421305
procedures,0,0.0009744787427428766
annul,0,0.01012233159530968
decreasing,0,0.0032959421677368843
supplementary,0,0.004076731793844712
soviet,0,0.023906536486947075
conducting,0,0.00732374659265544
yearly,0,0.05815359395988373
specialized,0,0.013183768670947537
architectural,0,0.013418273763046561
prohibited,0,0.006709136881523281
expenditures,0,0.006591884335473769
economists,0,0.007968845495649026
proportional,0,0.006709136881523281
constitute,0,0.005937211237795099
gradual,0,0.01630692717537885
totaling,0,0.01012233159530968
issuing,0,0.004555650781862629
differentiated,0,0.0029686056188975496
operational,0,0.007541935983335337
continuous,0,0.0016302390384737942
totals,0,0.0318753819825961
considerable,0,0.0017088970047718054
youths,0,0.01012233159530968
esthetic,0,0.02024466319061936
tailored,0,0.007968845495649026
attachments,0,0.01012233159530968
traditions,0,0.004076731793844712
complexes,0,0.01744607818796512
annually,0,0.01603496215108624
hostels,0,0.007968845495649026
armenian,0,0.07968845495649025
physicist,0,0.01012233159530968
stronghold,0,0.01012233159530968
assisting,0,0.005815359395988373
deviations,0,0.006709136881523281
schoolchildren,0,0.01012233159530968
preperation,0,0.01012233159530968
calculated,0,0.00366187329632772
earmarked,0,0.004555650781862629
communal,0,0.006709136881523281
granting,0,0.023261437583953493
physiologist,0,0.01012233159530968
memebers,0,0.01012233159530968
leveled,0,0.01012233159530968
unesco,0,0.00366187329632772
undp,0,0.007968845495649026
bibb,0,0.01012233159530968
implementing,0,0.0011427114059614457
tempus,0,0.007968845495649026
inco,0,0.01012233159530968
copernicus,0,0.01012233159530968
subordinate,0,0.01744607818796512
budgetary,0,0.050445458326241484
environments,0,0.0017088970047718054
operates,0,0.00366187329632772
entities,0,0.007206494046605927
computerized,0,0.01593769099129805
comparable,0,0.002672493691847707
eurostat,0,0.004076731793844712
guidebook,0,0.01012233159530968
creche,0,0.02024466319061936
duration,0,0.007692982776736241
bilateral,0,0.004555650781862629
agreements,0,0.005769737082552182
competitiveness,0,0.00603354878666827
kindergartens,0,0.013666952345587886
applicants,0,0.004076731793844712
mpp,0,0.02024466319061936
extern,0,0.007968845495649026
charters,0,0.01593769099129805
marz,0,0.04048932638123872
quotas,0,0.023906536486947075
mpps,0,0.01012233159530968
commissions,0,0.005815359395988373
decreased,0,0.07559967214784884
foundations,0,0.004076731793844712
respectively,0,0.009608658728807902
criteria,0,0.008379883643717268
departmental,0,0.004555650781862629
ministries,0,0.0019232456941840604
pedagogical,0,0.07690036521473123
scopes,0,0.01012233159530968
guarantees,0,0.022778253909313144
composition,0,0.002672493691847707
handicapped,0,0.007968845495649026
elaborated,0,0.004076731793844712
acad,0,0.02024466319061936
craftsmen,0,0.01012233159530968
preliminary,0,0.033545684407616405
regions,0,0.0017088970047718054
structuring,0,0.005815359395988373
outcomes,0,0.0008151195192368971
subsidiaries,0,0.01012233159530968
spheres,0,0.004076731793844712
initiation,0,0.005122091718558203
